"type","id","plan_id","label","x","y","width","height","area_m2","path_or_viewbox"
"stand","yellow-lower-61","yellow-lower","61","592","420","35","35","9",""
"stand","yellow-lower-54","yellow-lower","54","627","245","34","35","9",""
"stand","yellow-lower-55","yellow-lower","55","627","280","34","35","9",""
"stand","yellow-lower-56","yellow-lower","56","627","315","34","35","9",""
"stand","yellow-lower-57","yellow-lower","57","627","350","34","35","9",""
"stand","yellow-lower-58","yellow-lower","58","627","385","34","35","9",""
"stand","yellow-lower-59","yellow-lower","59","627","420","34","35","9",""
"stand","yellow-lower-60","yellow-lower","60","592","455","69","51","27",""
"stand","yellow-lower-28","yellow-lower","28","696","234","70","58","30",""
"stand","yellow-lower-27","yellow-lower","27","696","292","35","35","9",""
"stand","yellow-lower-26","yellow-lower","26","696","327","35","35","9",""
"stand","yellow-lower-25","yellow-lower","25","696","362","35","35","9",""
"stand","yellow-lower-24","yellow-lower","24","696","397","35","35","9",""
"stand","yellow-lower-23","yellow-lower","23","696","432","35","35","9",""
"stand","yellow-lower-22","yellow-lower","22","696","467","35","35","9",""
"stand","yellow-lower-29","yellow-lower","29","731","292","35","35","9",""
"stand","yellow-lower-30","yellow-lower","30","731","327","35","35","9",""
"stand","yellow-lower-31","yellow-lower","31","731","362","35","35","9",""
"stand","yellow-lower-32","yellow-lower","32","731","397","35","35","9",""
"stand","yellow-lower-33","yellow-lower","33","731","432","35","35","9",""
"stand","yellow-lower-34","yellow-lower","34","731","467","35","35","9",""
"stand","yellow-lower-21","yellow-lower","21","696","502","70","75","39",""
"stand","yellow-lower-44","yellow-lower","44","800","234","70","52","27",""
"stand","yellow-lower-43","yellow-lower","43","800","286","70","52","27",""
"stand","yellow-lower-42","yellow-lower","42","800","338","104","70","54",""
"stand","yellow-lower-41","yellow-lower","41","800","408","52","47","19.12",""
"stand","yellow-lower-40","yellow-lower","40","852","408","52","47","19.12",""
"stand","yellow-lower-39","yellow-lower","39","800","455","52","47","19.12",""
"stand","yellow-lower-38","yellow-lower","38","852","455","52","47","19.12",""
"stand","yellow-lower-45","yellow-lower","45","905","228","33","69","18",""
"stand","yellow-lower-7","yellow-lower","7","314","542","35","35","9",""
"stand","yellow-lower-8","yellow-lower","8","349","542","35","35","9",""
"stand","yellow-lower-9","yellow-lower","9","384","542","35","35","9",""
"stand","yellow-lower-10","yellow-lower","10","419","542","35","35","9",""
"stand","yellow-lower-17","yellow-lower","17","558","542","35","35","9",""
"stand","yellow-lower-18","yellow-lower","18","593","542","35","35","9",""
"stand","yellow-lower-19","yellow-lower","19","628","542","34","35","9",""
"stand","yellow-lower-20","yellow-lower","20","662","542","34","35","9",""
"stand","yellow-lower-35","yellow-lower","35","766","542","35","35","",""
"stand","yellow-lower-36","yellow-lower","36","801","542","34","35","",""
"stand","yellow-lower-37","yellow-lower","37","835","542","69","35","",""
"stand","yellow-lower-A1","yellow-lower","A1","38","273","135","63","62",""
"stand","yellow-lower-A2","yellow-lower","A2","37","495","35","70","22",""
"stand","yellow-lower-A3","yellow-lower","A3","139","496","35","35","",""
"stand","yellow-lower-A4","yellow-lower","A4","139","531","35","35","",""
"stand","yellow-lower-A5","yellow-lower","A5","139","566","35","20","",""
"stand","yellow-lower-A6","yellow-lower","A6","36","565","35","64","15.82",""
"stand","yellow-upper-92","yellow-upper","92","226","165","29","30","6.25",""
"stand","yellow-upper-93","yellow-upper","93","255","165","29","30","6.25",""
"stand","yellow-upper-94","yellow-upper","94","284","165","29","30","6.25",""
"stand","yellow-upper-95","yellow-upper","95","313","165","29","30","6.25",""
"stand","yellow-upper-96","yellow-upper","96","342","165","76","64","41.25",""
"stand","yellow-upper-106","yellow-upper","106","430","165","29","30","6.25",""
"stand","yellow-upper-107","yellow-upper","107","459","165","29","30","6.25",""
"stand","yellow-upper-108","yellow-upper","108","488","165","29","30","6.25",""
"stand","yellow-upper-109","yellow-upper","109","555","165","76","64","41.25",""
"stand","yellow-upper-119","yellow-upper","119","644","165","32","30","",""
"stand","yellow-upper-120","yellow-upper","120","676","165","29","30","",""
"stand","yellow-upper-121","yellow-upper","121","705","165","29","30","",""
"stand","yellow-upper-122","yellow-upper","122","734","165","35","30","",""
"stand","yellow-upper-123","yellow-upper","123","769","165","70","64","33",""
"stand","yellow-upper-139","yellow-upper","139","839","165","29","30","",""
"stand","yellow-upper-140","yellow-upper","140","868","165","46","30","",""
"stand","yellow-upper-91","yellow-upper","91","184","229","29","47","",""
"stand","yellow-upper-90","yellow-upper","90","184","276","29","58","",""
"stand","yellow-upper-89","yellow-upper","89","184","334","29","58","",""
"stand","yellow-upper-88","yellow-upper","88","184","392","29","58","",""
"stand","yellow-upper-87","yellow-upper","87","184","450","29","59","",""
"stand","yellow-upper-203","yellow-upper","203","249","229","58","58","",""
"stand","yellow-upper-202","yellow-upper","202","249","287","58","57","",""
"stand","yellow-upper-201","yellow-upper","201","249","344","58","58","",""
"stand","yellow-upper-200","yellow-upper","200","249","402","58","58","",""
"stand","yellow-upper-199","yellow-upper","199","249","460","58","47","",""
"stand","yellow-upper-198","yellow-upper","198","249","507","58","71","",""
"stand","yellow-upper-97","yellow-upper","97","342","229","44","58","18.75",""
"stand","yellow-upper-98","yellow-upper","98","342","287","44","58","18.75",""
"stand","yellow-upper-99","yellow-upper","99","342","345","44","58","18.75",""
"stand","yellow-upper-100","yellow-upper","100","342","403","44","58","18.75",""
"stand","yellow-upper-105","yellow-upper","105","386","229","44","58","18.75",""
"stand","yellow-upper-104","yellow-upper","104","386","287","44","58","18.75",""
"stand","yellow-upper-103","yellow-upper","103","386","345","44","58","18.75",""
"stand","yellow-upper-102","yellow-upper","102","386","403","44","58","18.75",""
"stand","yellow-upper-101","yellow-upper","101","342","461","88","47","30",""
"stand","yellow-upper-184","yellow-upper","184","463","229","58","47","20",""
"stand","yellow-upper-185","yellow-upper","185","463","276","29","29","6.25",""
"stand","yellow-upper-186","yellow-upper","186","463","305","29","29","6.25",""
"stand","yellow-upper-187","yellow-upper","187","463","334","29","29","6.25",""
"stand","yellow-upper-188","yellow-upper","188","463","363","29","29","6.25",""
"stand","yellow-upper-189","yellow-upper","189","463","392","29","29","6.25",""
"stand","yellow-upper-190","yellow-upper","190","463","421","29","29","6.25",""
"stand","yellow-upper-191","yellow-upper","191","463","450","29","29","6.25",""
"stand","yellow-upper-192","yellow-upper","192","463","479","29","29","6.25",""
"stand","yellow-upper-183","yellow-upper","183","492","276","29","29","6.25",""
"stand","yellow-upper-182","yellow-upper","182","492","305","29","29","6.25",""
"stand","yellow-upper-181","yellow-upper","181","492","334","29","29","6.25",""
"stand","yellow-upper-180","yellow-upper","180","492","363","29","29","6.25",""
"stand","yellow-upper-179","yellow-upper","179","492","392","29","29","6.25",""
"stand","yellow-upper-178","yellow-upper","178","492","421","29","29","6.25",""
"stand","yellow-upper-177","yellow-upper","177","492","450","29","29","6.25",""
"stand","yellow-upper-176","yellow-upper","176","492","479","29","29","6.25",""
"stand","yellow-upper-175","yellow-upper","175","463","508","58","61","27.5",""
"stand","yellow-upper-110","yellow-upper","110","555","229","44","58","18.75",""
"stand","yellow-upper-111","yellow-upper","111","555","287","44","58","18.75",""
"stand","yellow-upper-112","yellow-upper","112","555","345","44","58","18.75",""
"stand","yellow-upper-113","yellow-upper","113","555","403","44","58","18.75",""
"stand","yellow-upper-118","yellow-upper","118","599","229","45","58","18.75",""
"stand","yellow-upper-117","yellow-upper","117","599","287","45","58","18.75",""
"stand","yellow-upper-116","yellow-upper","116","599","345","45","58","18.75",""
"stand","yellow-upper-115","yellow-upper","115","599","403","45","58","18.75",""
"stand","yellow-upper-114","yellow-upper","114","555","461","89","47","30",""
"stand","yellow-upper-161","yellow-upper","161","677","229","58","47","20",""
"stand","yellow-upper-162","yellow-upper","162","677","276","29","29","6.25",""
"stand","yellow-upper-163","yellow-upper","163","677","305","29","29","6.25",""
"stand","yellow-upper-164","yellow-upper","164","677","334","29","29","6.25",""
"stand","yellow-upper-165","yellow-upper","165","677","363","29","29","6.25",""
"stand","yellow-upper-166","yellow-upper","166","677","392","29","29","6.25",""
"stand","yellow-upper-167","yellow-upper","167","677","421","29","29","6.25",""
"stand","yellow-upper-168","yellow-upper","168","677","450","29","29","6.25",""
"stand","yellow-upper-169","yellow-upper","169","677","479","29","29","6.25",""
"stand","yellow-upper-160","yellow-upper","160","706","276","29","29","6.25",""
"stand","yellow-upper-159","yellow-upper","159","706","305","29","29","6.25",""
"stand","yellow-upper-158","yellow-upper","158","706","334","29","29","6.25",""
"stand","yellow-upper-157","yellow-upper","157","706","363","29","29","6.25",""
"stand","yellow-upper-156","yellow-upper","156","706","392","29","29","6.25",""
"stand","yellow-upper-155","yellow-upper","155","706","421","29","29","6.25",""
"stand","yellow-upper-154","yellow-upper","154","706","450","29","29","6.25",""
"stand","yellow-upper-153","yellow-upper","153","706","479","29","29","6.25",""
"stand","yellow-upper-152","yellow-upper","152","677","508","58","61","27.5",""
"stand","yellow-upper-124","yellow-upper","124","769","229","35","35","9",""
"stand","yellow-upper-125","yellow-upper","125","769","264","35","35","9",""
"stand","yellow-upper-126","yellow-upper","126","769","299","35","35","9",""
"stand","yellow-upper-127","yellow-upper","127","769","334","35","35","9",""
"stand","yellow-upper-128","yellow-upper","128","769","369","35","35","9",""
"stand","yellow-upper-129","yellow-upper","129","769","404","35","35","9",""
"stand","yellow-upper-130","yellow-upper","130","769","439","35","35","9",""
"stand","yellow-upper-138","yellow-upper","138","804","229","35","35","9",""
"stand","yellow-upper-137","yellow-upper","137","804","264","35","35","9",""
"stand","yellow-upper-136","yellow-upper","136","804","299","35","35","9",""
"stand","yellow-upper-135","yellow-upper","135","804","334","35","35","9",""
"stand","yellow-upper-134","yellow-upper","134","804","369","35","35","9",""
"stand","yellow-upper-133","yellow-upper","133","804","404","35","35","9",""
"stand","yellow-upper-132","yellow-upper","132","804","439","35","35","9",""
"stand","yellow-upper-131","yellow-upper","131","769","474","70","35","18",""
"stand","yellow-upper-143","yellow-upper","143","874","234","41","83","",""
"stand","yellow-upper-144","yellow-upper","144","874","317","41","58","",""
"stand","yellow-upper-145","yellow-upper","145","874","375","41","58","",""
"stand","yellow-upper-146","yellow-upper","146","874","433","41","58","",""
"stand","yellow-upper-147","yellow-upper","147","874","491","41","83","",""
"stand","yellow-upper-141","yellow-upper","141","919","541","29","29","7.5",""
"stand","yellow-upper-205","yellow-upper","205","135","541","57","29","11.88",""
"stand","yellow-upper-204","yellow-upper","204","192","541","57","29","11.88",""
"stand","yellow-upper-197","yellow-upper","197","307","541","35","29","",""
"stand","yellow-upper-196","yellow-upper","196","342","541","29","29","",""
"stand","yellow-upper-195","yellow-upper","195","371","541","29","29","",""
"stand","yellow-upper-194","yellow-upper","194","400","541","29","29","",""
"stand","yellow-upper-193","yellow-upper","193","429","541","34","29","",""
"stand","yellow-upper-174","yellow-upper","174","521","541","34","29","",""
"stand","yellow-upper-173","yellow-upper","173","555","541","29","29","",""
"stand","yellow-upper-172","yellow-upper","172","584","541","29","29","",""
"stand","yellow-upper-171","yellow-upper","171","613","541","29","29","",""
"stand","yellow-upper-170","yellow-upper","170","642","541","35","29","",""
"stand","yellow-upper-151","yellow-upper","151","735","541","34","29","7.5",""
"stand","yellow-upper-150","yellow-upper","150","769","541","35","29","7.5",""
"stand","yellow-upper-149","yellow-upper","149","804","541","35","29","7.5",""
"stand","yellow-upper-148","yellow-upper","148","839","541","35","29","7.5",""
"stand","yellow-upper-P14","yellow-upper","P14","44","184","121","160","125",""
"stand","yellow-upper-P6","yellow-upper","P6","44","344","24","35","6",""
"stand","yellow-upper-P5","yellow-upper","P5","44","379","24","35","6",""
"stand","yellow-upper-P4","yellow-upper","P4","44","414","24","35","6",""
"stand","yellow-upper-P3","yellow-upper","P3","44","449","24","35","6",""
"stand","yellow-upper-P2","yellow-upper","P2","44","484","24","35","6",""
"stand","yellow-upper-P1","yellow-upper","P1","44","519","24","35","6",""
"stand","yellow-upper-P7","yellow-upper","P7","152","362","28","29","6.25",""
"stand","yellow-upper-P8","yellow-upper","P8","152","391","28","29","6.25",""
"stand","yellow-upper-P9","yellow-upper","P9","152","420","28","29","6.25",""
"stand","yellow-upper-P10","yellow-upper","P10","152","449","28","29","6.25",""
"stand","yellow-upper-P11","yellow-upper","P11","152","478","28","29","6.25",""
"stand","yellow-upper-P14-A","yellow-upper","P14-A","950","271","143","242","257.67",""
"stand","yellow-upper-P14-B","yellow-upper","P14-B","950","513","143","43","49.26",""
"stand","yellow-upper-A8","yellow-upper","A8","978","568","57","24","15",""
"stand","green-upper-5","green-upper","5","99","285","84","81","",""
"stand","green-upper-4","green-upper","4","99","366","84","54","",""
"stand","green-upper-3","green-upper","3","99","420","84","55","",""
"stand","green-upper-2","green-upper","2","17","475","84","57","24",""
"stand","green-upper-1","green-upper","1","17","532","84","57","24",""
"stand","green-upper-6","green-upper","6","230","199","42","44","9",""
"stand","green-upper-7","green-upper","7","272","199","42","44","9",""
"stand","green-upper-8","green-upper","8","314","208","82","83","36",""
"stand","green-upper-14","green-upper","14","396","220","28","40","6",""
"stand","green-upper-15","green-upper","15","424","220","28","40","6",""
"stand","green-upper-16","green-upper","16","452","220","28","40","6",""
"stand","green-upper-17","green-upper","17","480","220","28","40","6",""
"stand","green-upper-18","green-upper","18","508","220","28","40","6",""
"stand","green-upper-19","green-upper","19","536","220","28","40","6",""
"stand","green-upper-20","green-upper","20","564","227","39","85","18",""
"stand","green-upper-25","green-upper","25","644","238","42","39","",""
"stand","green-upper-26","green-upper","26","686","238","42","39","",""
"stand","green-upper-27","green-upper","27","728","238","28","39","",""
"stand","green-upper-28","green-upper","28","756","238","51","39","",""
"stand","green-upper-29","green-upper","29","807","249","42","82","18",""
"stand","green-upper-33","green-upper","33","849","249","42","82","18",""
"stand","green-upper-34","green-upper","34","891","261","28","39","6",""
"stand","green-upper-35","green-upper","35","919","261","28","39","6",""
"stand","green-upper-36","green-upper","36","947","261","28","39","6",""
"stand","green-upper-37","green-upper","37","975","261","28","39","6",""
"stand","green-upper-38","green-upper","38","1003","270","95","40","21",""
"stand","green-upper-39","green-upper","39","1057","310","42","30","6",""
"stand","green-upper-40","green-upper","40","1057","340","42","30","6",""
"stand","green-upper-41","green-upper","41","1057","370","42","30","6",""
"stand","green-upper-42","green-upper","42","1057","400","42","30","6",""
"stand","green-upper-43","green-upper","43","1057","430","42","30","6",""
"stand","green-upper-44","green-upper","44","1057","460","42","30","6",""
"stand","green-upper-45","green-upper","45","1057","490","42","84","27",""
"stand","green-upper-67","green-upper","67","230","285","41","41","9",""
"stand","green-upper-68","green-upper","68","230","326","41","41","9",""
"stand","green-upper-69","green-upper","69","230","367","41","41","9",""
"stand","green-upper-70","green-upper","70","230","408","41","41","9",""
"stand","green-upper-9","green-upper","9","314","291","41","41","9",""
"stand","green-upper-13","green-upper","13","355","291","41","41","9",""
"stand","green-upper-10","green-upper","10","314","332","41","42","9",""
"stand","green-upper-12","green-upper","12","355","332","41","42","9",""
"stand","green-upper-11","green-upper","11","314","374","82","34","15",""
"stand","green-upper-79","green-upper","79","438","305","41","61","13.5",""
"stand","green-upper-80","green-upper","80","479","305","41","61","13.5",""
"stand","green-upper-78","green-upper","78","438","366","41","42","9",""
"stand","green-upper-81","green-upper","81","479","366","41","42","9",""
"stand","green-upper-77","green-upper","77","438","408","41","41","9",""
"stand","green-upper-82","green-upper","82","479","408","41","41","9",""
"stand","green-upper-21","green-upper","21","561","312","41","42","9",""
"stand","green-upper-24","green-upper","24","602","312","41","42","9",""
"stand","green-upper-22","green-upper","22","561","354","41","54","12",""
"stand","green-upper-23","green-upper","23","602","354","41","54","12",""
"stand","green-upper-89","green-upper","89","685","327","41","40","9",""
"stand","green-upper-90","green-upper","90","726","327","41","40","9",""
"stand","green-upper-88","green-upper","88","685","367","41","41","9",""
"stand","green-upper-91","green-upper","91","726","367","41","41","9",""
"stand","green-upper-87","green-upper","87","685","408","41","41","9",""
"stand","green-upper-92","green-upper","92","726","408","41","41","9",""
"stand","green-upper-30","green-upper","30","808","331","41","43","9",""
"stand","green-upper-32","green-upper","32","849","331","41","43","9",""
"stand","green-upper-31","green-upper","31","808","374","82","34","15",""
"stand","green-upper-99","green-upper","99","934","347","41","61","13.5",""
"stand","green-upper-100","green-upper","100","975","347","41","61","13.5",""
"stand","green-upper-98","green-upper","98","934","408","41","41","9",""
"stand","green-upper-101","green-upper","101","975","408","41","41","9",""
"stand","green-upper-71","green-upper","71","230","449","41.4","43","9",""
"stand","green-upper-72","green-upper","72","271.4","449","41.4","43","9",""
"stand","green-upper-73","green-upper","73","312.79999999999995","449","41.4","43","9",""
"stand","green-upper-74","green-upper","74","354.19999999999993","449","41.4","43","9",""
"stand","green-upper-75","green-upper","75","395.5999999999999","449","41.4","43","9",""
"stand","green-upper-76","green-upper","76","436.9999999999999","449","41.4","43","9",""
"stand","green-upper-83","green-upper","83","478.39999999999986","449","41.4","43","9",""
"stand","green-upper-84","green-upper","84","520","449","82.5","43","18",""
